"ID","genotype","site","year","population","SowDate","Harvest","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Yield","Soybean.Grain.Size","Soybean.Grain.Number","Soybean.Total.Wt","Soybean.Leaf.FRGR","Soybean.Leaf.Fw","Soybean.Leaf.Photosynthesis.FT","Soybean.Leaf.Photosynthesis.FW","Soybean.WaterUptake(1)","Soybean.WaterUptake(2)","Soybean.WaterUptake(3)","Soybean.WaterUptake(4)","Soybean.WaterUptake(5)","Soybean.WaterUptake(6)","Soybean.WaterUptake(7)","Soybean.WaterUptake(8)","Soybean.WaterUptake(9)","Soybean.WaterUptake(10)","Date"
"Emm09_MG4_39_12-may_13-oct","Generic_MG4","Emmett",2009,39,"12-may","13-oct",1,1,"paddock","2009-07-12 12:00:00",4.01762803386227,"StartFlowering",454.942660002418,0,0,0,612.474824391862,1,0.623402523150503,1,0.623402523150503,0.204791400944423,0.677288415041039,0.545223842724154,0.483673381339548,0.439579102491948,0.397119933845554,0.368966212312107,0.365945987658702,0.267046203972585,0,2009-07-12
"Emm10_MG3_30_28-may_14-oct","Generic_MG3","Emmett",2010,30,"28-may","14-oct",1,1,"paddock","2010-07-12 12:00:00",4.06814579646439,"StartFlowering",298.791786606943,0,0,0,407.381929018687,1,1,1,1,1.15433192330661,1.03612149127765,0.81924393809436,0.65226117040557,0.494836788506698,0.379988541225122,0.161901074132526,0,0,0,2010-07-12
"Emm10_MG4_30_28-may_14-oct","Generic_MG4","Emmett",2010,30,"28-may","14-oct",1,1,"paddock","2010-07-19 12:00:00",4.00822973888692,"StartFlowering",394.277553105044,0,0,0,539.74126008895,0.884999942779541,0.865004652022389,0.884999942779541,0.865004652022389,0.854778017851934,1.03839059958712,0.846126953155248,0.73370674278818,0.60993730792723,0.486101526319766,0.415660075718627,0.216720662885986,0,0,2010-07-19
"Emm11_MG3_30_24-may_05-oct","Generic_MG3","Emmett",2011,30,"24-may","05-oct",1,1,"paddock","2011-07-11 12:00:00",4.0400281476456,"StartFlowering",251.244370604619,0,0,0,334.643080099659,0.774999904632568,0.611808063916044,0.774999904632568,0.611808063916044,1.0708235567225,0.53458696549022,0.382673032593097,0.437755145442772,0.47262970834485,0.477399972482443,0.258294743745325,0,0,0,2011-07-11
"Emm11_MG4_30_24-may_05-oct","Generic_MG4","Emmett",2011,30,"24-may","05-oct",1,1,"paddock","2011-07-19 12:00:00",4.0014231393295,"StartFlowering",317.937395057754,0,0,0,421.569912120421,0.834999942779541,0.359793996979018,0.834999942779541,0.359793996979018,0.353683785744538,0.36628709925096,0.277471536243834,0.337693528233874,0.38176661040448,0.400477830216029,0.392378657601174,0.289592159229744,0,0,2011-07-19
"Emm12_MG3_30_08-may_16-oct","Generic_MG3","Emmett",2012,30,"08-may","16-oct",1,1,"paddock","2012-06-29 12:00:00",4.05448053209506,"StartFlowering",290.034133970127,0,0,0,395.032274152379,0.724999904632568,0.699014823008703,0.724999904632568,0.699014823008703,1.18834602551635,1.27472132739786,0.611104983513564,0.404412279321663,0.427455395450692,0.438070124910655,0.421442917858669,0.0656823389937317,0,0,2012-06-29
"Emm12_MG4_30_08-may_16-oct","Generic_MG4","Emmett",2012,30,"08-may","16-oct",1,1,"paddock","2012-07-08 12:00:00",4.00662931378055,"StartFlowering",371.196054993118,0,0,0,502.443760563274,1,0.515313508172799,1,0.515313508172799,0.359517256716452,0.80018740054441,0.430403580766299,0.305827928358189,0.336937447601885,0.359793872540497,0.35886962091119,0.364320414456191,0.26337436664884,0,2012-07-08
"Eri08_MG4_39_25-jun_20-nov","Generic_MG4","Erie",2008,39,"25-jun","20-nov",1,1,"paddock","2008-08-07 12:00:00",4.03357171216581,"StartFlowering",308.166006767415,0,0,0,412.956089420774,1,1,1,1,1.25293538532658,1.04240054213161,0.64484607849385,0.364197569648647,0.517428575717549,0.501763957976969,0.0977479237355936,0,0,0,2008-08-07
"Eri08_MG5_34_25-jun_20-nov","Generic_MG5","Erie",2008,34,"25-jun","20-nov",1,1,"paddock","2008-08-13 12:00:00",4.05582890263413,"StartFlowering",355.896140001736,0,0,0,480.211281372345,1,1,1,1,1.67862012594627,1.39316638946451,0.633574109162195,0.250139464127287,0.377629084149369,0.364928897502929,0.375740760410581,0.0319439872205874,0,0,2008-08-13
"Eri08_MG5_39_25-jun_20-nov","Generic_MG5","Erie",2008,39,"25-jun","20-nov",1,1,"paddock","2008-08-13 12:00:00",4.05582890263413,"StartFlowering",382.602569032431,0,0,0,512.328247980187,1,1,1,1,1.77679169568889,1.46778406967088,0.64526089449433,0.258486031197167,0.393734387025369,0.38294517181694,0.396481331164575,0.0337995127594877,0,0,2008-08-13
